ID,x,y,z
185,0.441509434,0.630188679,0.071698113
186,0.464150943,0.622641509,0.064150943
187,0.490566038,0.611320755,0.060377358
188,0.513207547,0.603773585,0.056603774
189,0.539622642,0.596226415,0.049056604
190,0.433962264,0.4,0.169811321
191,0.577358491,0.362264151,0.041509434
192,0.577358491,0.305660377,0.030188679
193,0.550943396,0.264150943,0.064150943
194,0.524528302,0.226415094,0.094339623
195,0.501886792,0.18490566,0.124528302
196,0.475471698,0.147169811,0.154716981
197,0.449056604,0.105660377,0.18490566
198,0.426415094,0.067924528,0.21509434
199,0.547169811,0.064150943,0.411320755
200,0.403773585,-0.022641509,0.456603774
201,0.188679245,0.075471698,0.222641509
202,0.339622642,0.132075472,0.113207547
203,0.490566038,0.19245283,0
204,0.59245283,0.249056604,0.150943396
205,0.660377358,0.324528302,0.2
206,0.660377358,0.335849057,0.290566038
207,0.675471698,0.169811321,0.456603774
208,0.743396226,0.18490566,0.449056604
209,0.81509434,0.203773585,0.437735849
210,0.886792453,0.218867925,0.430188679
211,0.958490566,0.237735849,0.418867925
212,0.811320755,0.196226415,0.60754717
213,0.750943396,0.158490566,0.573584906
214,0.622641509,0,0.637735849
215,0.535849057,0.052830189,0.728301887
216,0.441509434,-0.079245283,0.977358491
217,0.411320755,0.116981132,1.011320755
218,0.305660377,0.113207547,1.188679245
219,0.39245283,0.20754717,1.203773585
220,0.483018868,0.301886792,1.218867925
221,0.637735849,0.328301887,0.928301887
222,0.532075472,0.332075472,1.105660377
223,0.558490566,0.067924528,1.245283019
224,0.524528302,0.098113208,1.143396226
225,0.494339623,0.128301887,1.041509434
226,0.464150943,0.158490566,0.935849057
227,0.550943396,0.056603774,0.811320755
228,0.501886792,0.256603774,0.99245283
229,0.641509434,0.535849057,0.826415094
230,0.649056604,0.362264151,0.905660377
231,0.656603774,0.188679245,0.98490566
232,0.747169811,0.18490566,0.656603774
233,0.581132075,0.362264151,0.558490566
234,0.766037736,0.449056604,0.61509434
235,0.954716981,0.535849057,0.667924528
236,0.716981132,0.550943396,0.750943396
237,0.920754717,0.581132075,0.958490566
238,0.762264151,0.532075472,1.022641509
239,0.954716981,0.350943396,0.849056604
240,0.947169811,0.324528302,0.943396226
241,0.939622642,0.298113208,1.037735849
242,0.932075472,0.271698113,1.132075472
243,0.924528302,0.245283019,1.226415094
244,0.935849057,-0.071698113,1.222641509
245,1,-0.00754717,1.430188679
246,0.867924528,-0.230188679,1.494339623
247,0.758490566,-0.362264151,1.467924528
248,0.762264151,-0.290566038,1.520754717
249,0.766037736,-0.218867925,1.573584906
250,0.769811321,-0.150943396,1.626415094
251,0.773584906,-0.079245283,1.679245283
252,0.777358491,-0.011320755,1.735849057
253,0.679245283,0.158490566,1.928301887
254,0.486792453,0.105660377,1.860377358
255,0.460377358,0.139622642,1.79245283
256,0.433962264,0.173584906,1.728301887
257,0.411320755,0.20754717,1.664150943
258,0.38490566,0.241509434,1.6
259,0.358490566,0.275471698,1.532075472
260,0.335849057,0.309433962,1.467924528
261,0.309433962,0.343396226,1.403773585
262,0.286792453,0.381132075,1.339622642
263,0.339622642,0.554716981,1.516981132
264,0.369811321,0.309433962,1.528301887
265,0.569811321,0.449056604,1.313207547
266,0.516981132,0.532075472,1.150943396
267,0.611320755,0.41509434,1.113207547
268,0.4,0.524528302,1.00754717
269,0.596226415,0.475471698,0.977358491
270,0.528301887,0.494339623,1.00754717
271,0.460377358,0.513207547,1.037735849
272,0.39245283,0.535849057,1.067924528
273,0.324528302,0.554716981,1.098113208
274,0.256603774,0.577358491,1.124528302
275,0.188679245,0.596226415,1.154716981
276,0.120754717,0.61509434,1.18490566
277,0.052830189,0.637735849,1.211320755
278,-0.01509434,0.656603774,1.241509434
279,-0.083018868,0.679245283,1.271698113
